"","CustomerID","recency","frequenci","monitery","country","group"
"1","12346",348,1,11.2539422782121,"United Kingdom",2
"2","12347",25,7,6.42278303404248,"Iceland",2
"3","12348",98,4,6.10771307267241,"Finland",2
"4","12349",41,1,7.47167607278227,"Italy",2
"5","12350",333,1,5.81233788121055,"Norway",3
"6","12352",59,8,5.74701755534073,"Norway",2
"7","12353",227,1,4.48863636973214,"Bahrain",3
"8","12354",255,1,6.98416061018454,"Spain",3
"9","12355",237,1,6.129921290255,"Bahrain",3
"10","12356",45,3,6.84283624101277,"Portugal",2
"11","12357",56,1,8.73354090323367,"Switzerland",2
"12","12358",24,2,6.36995235137185,"Austria",2
"13","12359",80,4,7.3734653289943,"Cyprus",2
"14","12360",75,3,6.78824324947696,"Austria",2
"15","12361",310,1,5.24649761781824,"Belgium",3
"16","12362",26,10,6.25886036283372,"Belgium",2
"17","12363",132,2,5.62040086571715,"Unspecified",4
"18","12364",30,4,5.79385167174507,"Belgium",2
"19","12365",314,2,5.77047492442311,"Cyprus",3
"20","12367",27,1,5.12930682381375,"Denmark",4
"21","12370",74,4,6.78719369924487,"Cyprus",2
"22","12371",67,2,6.85010497948039,"Switzerland",2
"23","12372",94,3,6.06999842476209,"Denmark",2
"24","12373",334,1,5.89880086224456,"Austria",3
"25","12374",48,1,6.61060182762806,"Austria",2
"26","12375",33,2,5.43262970415563,"Finland",4
"27","12377",338,2,6.7020340733598,"Switzerland",3
"28","12378",152,1,8.2962023214201,"Switzerland",2
"29","12379",104,2,6.054720996743,"Belgium",2
"30","12380",44,4,6.52385961877593,"Belgium",2
"31","12381",27,5,5.91096465160668,"Norway",2
"32","12383",207,5,5.91380566253575,"Belgium",3
"33","12384",51,2,5.67892609865733,"Switzerland",4
"34","12386",360,2,5.30305612089521,"Australia",3
"35","12388",38,6,6.13868411935126,"Australia",2
"36","12390",102,1,6.30962732681335,"Belgium",2
"37","12391",44,1,6.13315940281068,"Cyprus",2
"38","12393",95,4,5.9805299820552,"Australia",2
"39","12394",86,2,6.45557585064888,"Denmark",2
"40","12395",42,12,5.52765171526997,"Belgium",4
"41","12397",58,2,7.09419335128793,"Belgium",2
"42","12398",68,1,7.39980167160342,"Switzerland",2
"43","12399",142,4,5.62460397677911,"Belgium",4
"44","12401",326,1,4.43438186500781,"Belgium",3
"45","12402",346,1,5.4187635196239,"Belgium",3
"46","12403",72,1,6.05842201523286,"Denmark",2
"47","12405",171,1,7.4444766936681,"Finland",2
"48","12406",45,2,7.44287343531716,"Denmark",2
"49","12407",72,5,5.83371071705771,"Belgium",2
"50","12408",55,5,6.35907201265991,"Belgium",2
"51","12409",101,3,8.21362290036428,"Switzerland",2
"52","12410",331,2,5.84835889576344,"Switzerland",3
"53","12412",97,3,6.01361735174912,"Denmark",2
"54","12413",89,3,5.53220301439415,"France",4
"55","12414",240,3,5.2336188326091,"Austria",3
"56","12415",47,21,8.69086258469053,"Australia",2
"57","12417",26,9,6.00501126349315,"Spain",2
"58","12418",135,1,6.50515606028702,"Switzerland",2
"59","12420",86,1,6.39757944405764,"Cyprus",2
"60","12421",38,4,5.30707887221661,"Spain",4
"61","12422",118,3,5.59043956702584,"Switzerland",4
"62","12423",23,8,5.44851918845992,"Belgium",4
"63","12424",185,2,6.78046721331145,"Australia",2
"64","12425",101,1,6.65569771750329,"Portugal",2
"65","12426",217,1,6.3677239572926,"Germany",3
"66","12427",44,3,5.61774032478388,"Germany",4
"67","12428",48,9,6.78451487896524,"Finland",2
"68","12429",32,4,6.84332341882275,"Denmark",2
"69","12430",66,1,5.54673872504651,"Norway",4
"70","12431",58,15,6.06957461921314,"Belgium",2
"71","12432",65,5,6.91954945346484,"Norway",2
"72","12433",23,7,7.55529746732242,"Norway",2
"73","12434",107,2,5.99911024413353,"Australia",2
"74","12435",102,2,8.27255655979493,"Denmark",2
"75","12436",122,1,6.23246766272296,"Norway",2
"76","12437",24,18,5.61705590558979,"France",2
"77","12438",37,2,7.28167811908042,"Norway",2
"78","12441",389,1,5.1564657423078,"France",3
"79","12442",26,1,5.1478432531932,"Spain",4
"80","12444",44,5,6.90884668318384,"Norway",2
"81","12445",45,1,4.89335213348152,"Spain",4
"82","12446",80,1,6.91006261503383,"RSA",2
"83","12447",266,1,6.16644673651517,"Belgium",3
"84","12448",67,1,6.10802461301941,"Spain",2
"85","12449",45,4,6.92443784787589,"Belgium",2
"86","12450",179,2,4.59451360579956,"Spain",4
"87","12451",33,5,7.4994808428929,"Switzerland",2
"88","12452",39,2,5.37196273171565,"Switzerland",4
"89","12453",157,1,6.56115795623894,"Austria",2
"90","12454",79,1,8.1685827843653,"Spain",2
"91","12455",96,6,6.01894189660305,"Spain",2
"92","12456",67,3,6.96635117766403,"Switzerland",2
"93","12457",89,7,5.82187445729255,"Switzerland",2
"94","12458",94,2,6.16057420992971,"Switzerland",2
"95","12461",117,2,6.02451240115418,"Switzerland",2
"96","12462",41,2,6.38821680836371,"Spain",2
"97","12463",76,4,5.81769134876398,"Belgium",2
"98","12464",33,8,5.02062687822391,"Belgium",4
"99","12465",40,2,5.91645809451849,"Belgium",2
"100","12468",210,2,5.89926701797644,"Germany",3
"101","12471",25,30,6.49345374439891,"Germany",2
"102","12472",55,7,6.84468006763676,"Germany",2
"103","12473",52,5,6.66913000181722,"Germany",2
"104","12474",40,18,6.01558653621913,"Germany",2
"105","12475",76,1,6.58393467191435,"Germany",2
"106","12476",38,11,6.42919441353067,"Germany",2
"107","12477",45,6,7.69770697681327,"Germany",2
"108","12478",26,1,6.52354762175389,"Greece",2
"109","12479",34,1,6.2675799831883,"Germany",2
"110","12480",51,4,6.70980116803845,"Germany",2
"111","12481",45,10,6.32727942485905,"Germany",2
"112","12483",40,8,5.73857834852877,"Sweden",2
"113","12484",55,6,6.6293016046856,"Spain",2
"114","12488",32,3,6.0704759539428,"France",2
"115","12489",359,1,5.813921554767,"France",3
"116","12490",28,10,6.29488400967089,"France",2
"117","12491",61,1,6.13209567684773,"France",2
"118","12492",86,2,4.87980501209044,"Germany",4
"119","12493",188,2,5.37929809568032,"France",3
"120","12494",38,7,5.18186380389351,"France",4
"121","12497",104,1,6.94995232768193,"Germany",2
"122","12498",44,3,4.90205973919079,"Germany",4
"123","12500",46,11,5.95861729839373,"Germany",2
"124","12501",359,1,7.68220130102603,"Germany",3
"125","12502",118,5,6.61308081665321,"Spain",2
"126","12504",41,2,5.48490066255044,"Germany",4
"127","12506",255,1,4.29728540621879,"France",3
"128","12507",157,3,6.07520042661914,"Spain",2
"129","12508",49,2,5.29398298668048,"France",4
"130","12509",307,1,5.17332087637335,"France",3
"131","12510",165,2,6.19702440746488,"Spain",2
"132","12512",89,2,4.23432387227554,"Israel",4
"133","12513",135,1,6.41720602648708,"France",2
"134","12514",290,1,6.92528080584796,"Italy",3
"135","12515",376,1,5.94986099725291,"Italy",3
"136","12516",100,2,6.48620651960574,"Germany",2
"137","12517",51,5,6.21574345366244,"Germany",2
"138","12518",23,5,6.01951249985314,"Germany",2
"139","12519",86,1,5.83141315895976,"Germany",2
"140","12520",102,5,6.26691967418524,"Germany",2
"141","12521",165,1,6.39639617961,"Germany",2
"142","12522",62,2,4.56809117774667,"Germany",4
"143","12523",42,11,5.09194712616056,"France",4
"144","12524",32,8,6.32921275504573,"Germany",2
"145","12526",23,3,6.08424121725499,"Germany",2
"146","12527",104,3,4.75562834254895,"Germany",4
"147","12528",32,6,5.77531729782993,"Germany",2
"148","12530",82,4,6.02965107182655,"Germany",2
"149","12531",37,1,4.83007219031716,"Germany",4
"150","12532",53,1,5.85744732220035,"France",2
"151","12534",153,1,6.9931803985304,"Germany",2
"152","12535",114,2,5.88102169377944,"France",2
"153","12536",66,3,8.34298503182067,"France",2
"154","12538",52,1,5.89701649556427,"Spain",2
"155","12539",45,4,7.23855969811421,"Spain",2
"156","12540",42,17,6.66981455217016,"Spain",2
"157","12541",52,3,5.79014364030424,"Spain",2
"158","12544",59,1,5.92077380648521,"Spain",2
"159","12545",98,2,6.21499802239196,"Spain",2
"160","12546",69,2,6.36432037165052,"Spain",2
"161","12547",220,2,4.64342889810518,"Spain",3
"162","12548",189,1,4.55597994179732,"Spain",4
"163","12550",102,1,6.87195192001686,"Spain",2
"164","12551",380,1,5.12396397940326,"Spain",3
"165","12552",61,2,5.38866068644564,"Italy",4
"166","12553",31,10,5.91141433940632,"France",2
"167","12556",73,2,5.70994676962405,"Spain",2
"168","12557",39,5,7.78247039910456,"Spain",2
"169","12558",30,1,5.59827379987521,"USA",4
"170","12559",333,2,5.63783852191771,"Germany",3
"171","12560",28,3,6.56714582921822,"Germany",2
"172","12561",325,1,5.47583573983597,"Germany",3
"173","12562",31,7,6.29202935110506,"France",2
"174","12564",284,1,6.12446454856923,"France",3
"175","12565",311,1,4.98305852632602,"Saudi Arabia",3
"176","12566",109,1,5.86263636275403,"Germany",2
"177","12567",45,10,6.84601603620649,"France",2
"178","12569",25,32,4.85901024162989,"Germany",4
"179","12571",62,2,5.55993134962482,"France",4
"180","12572",31,2,6.23482240567243,"Germany",2
"181","12573",250,1,5.07854313270343,"France",3
"182","12574",338,1,5.38655715539744,"France",3
"183","12576",58,5,5.57278501177549,"Poland",4
"184","12577",58,3,5.39028864508685,"France",4
"185","12578",44,2,7.24226487660109,"Italy",2
"186","12579",101,1,6.08772881707805,"France",2
"187","12580",269,1,6.02996384625859,"Germany",3
"188","12581",62,1,5.28680131058679,"Germany",4
"189","12582",261,2,5.54392666257791,"Finland",3
"190","12583",25,15,6.18502548256377,"France",2
"191","12584",26,9,5.55989072003728,"Italy",4
"192","12585",257,2,6.92760692468474,"Germany",3
"193","12586",40,1,5.28289911381966,"Italy",4
"194","12587",30,1,4.969813299576,"Finland",4
"195","12588",62,1,5.37017280364846,"Finland",4
"196","12589",51,2,5.77870440117346,"France",2
"197","12590",234,2,8.50352622241212,"Germany",2
"198","12591",340,1,6.11556094482096,"Italy",3
"199","12592",115,2,5.38815807054783,"Germany",4
"200","12593",131,3,4.93710834969441,"France",4
"201","12594",60,10,5.8106079167851,"Italy",2
"202","12596",74,2,5.73377807469158,"Spain",2
"203","12597",42,4,6.85941026571834,"Spain",2
"204","12598",32,8,5.93458991652717,"France",2
"205","12599",52,7,4.9939056546185,"France",4
